ID	Class	Min_RGB_9_2_19_R	Min_RGB_9_2_19_G	Min_RGB_9_2_19_B	1stQu_RGB_9_2_19_R	1stQu_RGB_9_2_19_G	1stQu_RGB_9_2_19_B	Median_RGB_9_2_19_R	Median_RGB_9_2_19_G	Median_RGB_9_2_19_B	Mean_RGB_9_2_19_R	Mean_RGB_9_2_19_G	Mean_RGB_9_2_19_B	3rdQu_RGB_9_2_19_R	3rdQu_RGB_9_2_19_G	3rdQu_RGB_9_2_19_B	Max_RGB_9_2_19_R	Max_RGB_9_2_19_G	Max_RGB_9_2_19_B	sd_RGB_9_2_19_R	sd_RGB_9_2_19_G	sd_RGB_9_2_19_B
EL19_6743	14998.995	0	0	0	72.75	91.75	64.0	103.5	119.0	87.5	105.207142857143	122.528571428571	90.27142857142859	138.0	160.25	118.25	222	244	210	47.040698195733	53.360379618706	42.4983864030785
EL19_5257	10322.7	44	40	31	64.0	65.75	48.0	89.5	101.0	71.5	96.6142857142857	101.95	76.66428571428571	126.25	128.25	98.0	191	209	163	37.881410128176	39.6532316082614	33.0259568101688
EL19_6213	19418.93	38	35	13	87.0	97.75	57.5	112.0	117.5	77.5	112.964285714286	122.17857142857099	79.4428571428571	134.0	155.5	97.0	228	242	192	38.2775570953002	44.443524563679	34.5549861946825
EL19_5500	13978.675	40	36	41	78.5	91.0	79.25	103.0	125.0	98.5	106.666666666667	125.333333333333	104.055555555556	134.0	155.5	129.5	219	240	210	34.601734060592996	41.951400453381794	33.9572214541898
EL19_6518	14123.505	27	28	13	71.75	81.75	50.0	107.0	126.5	79.5	108.278571428571	126.807142857143	82.97142857142859	144.5	170.25	113.5	243	254	199	48.6678757235294	56.487968595928	43.57560911995051
EL19_5294	16431.04	0	0	0	98.75	99.5	69.0	119.5	127.0	84.5	118.220588235294	122.852941176471	87.22058823529409	142.25	146.25	107.0	207	238	177	34.8777104193475	38.3292808315416	29.643734251813804
EL19_6625	16144.56	37	35	23	73.0	85.75	54.75	88.0	107.0	70.0	95.1928571428571	111.2	75.24285714285709	121.25	137.5	96.0	177	194	144	31.494865729473702	35.5916488466873	29.0050532507728
EL19_5771	8707.225	54	50	34	108.75	113.0	87.0	143.5	146.5	117.0	141.742857142857	141.457142857143	114.192857142857	169.75	170.0	140.75	237	229	213	40.3087671754231	38.3549067196864	37.7816324048299
EL19_6118	10894.35	0	0	0	75.0	77.0	61.0	98.0	97.0	80.0	101.28682170542601	103.503875968992	85.015503875969	127.0	130.0	107.0	192	210	184	36.092371466845705	39.1956478832089	32.5986446459349
EL19_5649	13241.4	0	0	0	91.5	86.5	73.5	109.0	111.0	90.0	108.096296296296	113.04444444444401	90.1185185185185	126.5	137.5	103.0	208	223	184	36.5768204215506	43.8833029591776	32.097577872037604
