ID	Class	Min_RGB_10_7_19_R	Min_RGB_10_7_19_G	Min_RGB_10_7_19_B	1stQu_RGB_10_7_19_R	1stQu_RGB_10_7_19_G	1stQu_RGB_10_7_19_B	Median_RGB_10_7_19_R	Median_RGB_10_7_19_G	Median_RGB_10_7_19_B	Mean_RGB_10_7_19_R	Mean_RGB_10_7_19_G	Mean_RGB_10_7_19_B	3rdQu_RGB_10_7_19_R	3rdQu_RGB_10_7_19_G	3rdQu_RGB_10_7_19_B	Max_RGB_10_7_19_R	Max_RGB_10_7_19_G	Max_RGB_10_7_19_B	sd_RGB_10_7_19_R	sd_RGB_10_7_19_G	sd_RGB_10_7_19_B
EL19_5316	15532.4	38	29	23	77.5	70.5	65.25	113.5	102.5	94.5	123.452380952381	114.619047619048	106.34126984126999	165.0	156.5	141.75	250	246	236	54.05620884122111	55.00514261672011	50.5154491534481
EL19_6808	17733.86	22	17	17	61.75	53.75	51.75	91.0	84.0	76.0	105.3	97.4071428571429	90.25	148.5	138.5	126.25	241	236	211	56.0284742613749	55.7075994749372	50.3312945257033
EL19_5654	11284.42	0	0	0	68.0	60.25	57.25	106.5	96.0	88.5	110.60447761193998	102.60447761194	94.75373134328359	147.0	139.75	125.75	246	246	234	54.604940515235704	54.1970809990981	47.99599553583771
EL19_6833	5037.3	0	0	0	161.0	151.0	143.0	187.0	181.0	171.0	178.031007751938	171.15503875969	161.682170542636	215.0	208.0	196.0	242	237	227	50.1866730916461	50.8403520856593	48.02066360174479
EL19_5285	8067.94	35	25	27	84.0	77.5	71.5	123.0	116.0	106.0	123.23021582733801	116.359712230216	108.474820143885	154.0	146.0	139.0	245	247	242	46.106417005483294	47.617437920571604	44.1306247694261
EL19_6498	9220.47	13	7	10	69.25	61.0	62.25	110.0	101.0	100.0	110.261904761905	102.96825396825399	100.222222222222	142.5	133.75	133.0	247	244	221	52.65300425562489	52.355391165829204	47.821817429100506
EL19_5756	12847.145	26	18	17	97.0	89.75	81.5	142.0	133.5	117.0	138.55	130.2	114.207142857143	173.0	163.25	142.0	240	235	211	49.939002361225995	51.99878249819861	44.0097269216755
EL19_6849	15663.97	4	7	4	79.75	70.5	64.25	119.0	108.5	92.5	119.825396825397	112.238095238095	96.8968253968254	159.75	152.0	130.0	252	251	223	54.7626265790938	54.88014993732121	45.970569605360204
EL19_5767	12601.345	24	20	20	88.75	77.5	76.0	134.0	124.0	113.5	128.685714285714	118.33571428571399	112.221428571429	162.0	151.25	142.0	221	213	199	46.659964771051506	46.2655162717223	42.816165147576
EL19_6627	13561.58	0	0	0	63.0	56.0	54.5	91.0	79.0	77.0	100.952755905512	92.85826771653542	87.34645669291339	134.5	123.5	113.0	226	218	202	49.6727158776543	48.8043916202202	44.705629408804796
EL19_5675	12514.92	0	0	0	84.5	77.0	72.5	122.0	109.0	104.0	122.795275590551	113.913385826772	106.44094488189	151.0	146.0	138.5	239	245	237	46.5659352607586	47.2746154277538	43.6607872347402
EL19_6142	14935.68	32	29	28	82.5	76.5	72.75	110.5	107.0	100.5	111.139705882353	108.242647058824	99.99264705882351	139.25	137.0	125.25	221	215	203	41.00445735375379	42.8237553188396	38.5697053107227
EL19_5570	14796.21	45	38	40	76.0	69.0	69.0	100.0	91.0	87.0	105.021428571429	95.75714285714291	92.95	121.5	113.0	110.0	217	205	188	37.330425775659	36.2197274099145	33.10031080729561
EL19_6449	15055.84	0	0	0	59.5	51.5	52.0	96.0	88.0	86.0	97.9928057553957	91.3956834532374	87.5179856115108	137.5	130.5	122.0	231	225	212	54.24241032902739	52.469262044489206	48.2153010348774
EL19_5124	13714.8	0	0	0	65.25	62.0	60.0	84.0	80.5	74.5	99.65079365079359	96.6269841269841	87.1666666666667	125.75	125.75	108.0	226	240	196	50.75089239969171	52.3814828544567	43.63553597699929
EL19_6677	15621.64	16	12	14	51.0	43.25	42.0	86.5	80.0	74.5	94.7063492063492	88.7777777777778	80.8333333333333	122.0	114.75	100.0	231	240	207	53.223764235208705	53.230951731321	46.147372622934896
EL19_5750	18221.79	19	13	12	59.0	51.75	47.0	80.5	74.0	70.5	100.157142857143	91.8928571428571	85.1857142857143	137.0	125.25	111.5	250	248	234	55.0087333064437	54.3755521170774	49.260077041490796
EL19_6768	5239.2	0	0	0	155.0	146.5	145.0	189.0	182.0	176.0	174.143884892086	168.94964028777	164.525179856115	212.0	208.5	200.5	240	236	232	55.4211231052522	55.466182900230706	52.263176125947105
EL19_5409	16215.64	30	24	19	88.0	89.75	76.0	112.5	113.0	100.5	117.385714285714	122.328571428571	103.642857142857	149.5	160.0	134.5	211	227	197	42.5156062272129	48.0162506749512	40.1726617784773
EL19_6764	15442.8	29	25	24	57.0	56.0	46.75	88.0	85.0	72.5	101.114285714286	101.578571428571	85.7642857142857	140.25	140.5	115.5	233	235	204	51.6751176105257	56.645695240780704	46.6768487766295
EL19_5504	17466.24	26	20	20	64.75	56.5	53.0	100.5	94.5	87.5	112.02380952381	103.31746031746	93.88888888888891	156.75	145.25	126.0	241	236	205	56.405030170822805	55.7485283455843	48.670356024540794
EL19_6276	15313.44	21	18	16	65.0	58.0	51.0	106.0	93.5	83.5	108.944444444444	96.7936507936508	86.13492063492059	148.75	134.0	114.75	252	242	221	52.027731921436796	50.118630062733004	43.749167429719705
EL19_5229	13006.17	36	31	33	64.0	60.75	56.0	85.0	77.5	75.0	97.70714285714291	90.8642857142857	85.66428571428571	113.0	104.5	95.0	245	237	217	47.0214242351478	46.81053357357679	41.606344755897005
